statename,statefips,expansion,fpwaiver,small,template,note,age1518_mn,age1518_n,age1518_tstat,age1925_mn,age1925_n,age1925_tstat,age2634_mn,age2634_n,age2634_tstat,age3544_mn,age3544_n,age3544_tstat,white_mn,white_n,white_tstat,black_mn,black_n,black_tstat,hispanic_mn,hispanic_n,hispanic_tstat,othrace_mn,othrace_n,othrace_tstat,marpar_mn,marpar_n,marpar_tstat,singpar_mn,singpar_n,singpar_tstat,marchils_mn,marchils_n,marchils_tstat,singchils_mn,singchils_n,singchils_tstat,inc_acalt138_mn,inc_acalt138_n,inc_acalt138_tstat,inc_aca138_250_mn,inc_aca138_250_n,inc_aca138_250_tstat,inc_aca250_400_mn,inc_aca250_400_n,inc_aca250_400_tstat,inc_aca400pl_mn,inc_aca400pl_n,inc_aca400pl_tstat,inmetro_mn,inmetro_n,inmetro_tstat,nonmetro_mn,nonmetro_n,nonmetro_tstat,employed_mn,employed_n,employed_tstat,unemp_mn,unemp_n,unemp_tstat,nilf_mn,nilf_n,nilf_tstat,hier_n,hier_medicaid_share,hier_noncit400pl_share,hier_mktplce_share,hier_fpw_share,hier_pov_none_share,hier_100_138_share,hier_noncit_share,hier_400pl_share,ui_mn,ui_n,ui_tstat,ui_mn13,ui_n13
Alabama,1,0,1,0,2,0,0.03083952,1164,14.31730461,0.185571625,1931,3.891217232,0.166082403,2344,2.585645199,0.139085998,2654,0.485265911,0.128613268,5495,3.051122904,0.139552686,1969,0.402990758,0.378273161,313,6.353907585,0.11807149,316,1.062070489,0.117644868,2406,2.832503796,0.176003488,1370,2.748632431,0.112521611,776,2.101944447,0.148869375,3541,0.979984462,0.241610495,2116,9.681165695,0.151603198,1215,0.6773597,0.12222107,1436,1.828326344,0.071597844,3326,11.25461006,0.127207346,4760,4.041555882,0.218900329,1145,4.540313721,0.128119282,4696,5.869570255,0.343813683,363,5.677827835,0.185786864,2227,3.057765722,1034,0.048125189,0.265974776,0.376259518,0.309640517,0,0.092962917,0.100672971,0.165301805,0.142930891,135667,4.687007427,0.223664346,214667
Alaska,2,1,0,0,1,3,0.09680181,164,2.078226089,0.160945843,270,0.326646596,0.167451314,378,0.718051732,0.145703839,361,0.229827225,0.109031833,504,2.922770262,0.395933839,10,1.281923652,0.095747983,52,1.389457345,0.220691347,607,3.039449215,0.135478063,360,0.697707713,0.159933284,201,0.218695059,0.163406214,110,0.261722445,0.156039081,502,0.288594097,0.187239447,336,1.26578331,0.184726279,207,0.780364573,0.217832997,221,1.869266272,0.086206613,409,3.712663651,0.11377198,247,2.047464609,0.234577232,488,2.872390985,0.137960841,726,1.528203011,0.330890379,65,1.867616296,0.172164068,254,0.532647491,228,0.287581995,0.326215788,0.386202217,0,0,0,0.091110608,0.23510518,0.150810165,22105,2.146646023,0.25309737,36383
Arizona,4,1,0,0,1,3,0.096330448,1793,3.681321859,0.144948787,2683,2.348653793,0.122485652,3422,0.852171421,0.132499712,3896,0.841575563,0.076224413,5674,12.48659992,0.093411148,401,1.708300114,0.192698216,3887,11.66155815,0.134724905,1832,0.732388079,0.116237333,3385,1.808799982,0.150007463,1790,2.317215443,0.10743061,1142,1.821823001,0.130027617,5477,0.592041373,0.180206603,2856,6.907263756,0.155554733,1771,2.915298939,0.143331036,2090,1.779277921,0.075925765,5077,11.64706707,0.124920638,10617,2.048448086,0.189983669,540,2.868002176,0.114340635,7042,5.501402378,0.17334453,516,2.039438248,0.165684634,2912,4.70478344,1412,0.272489098,0.473537066,0.253973836,0,0,0,0.284961551,0.188575515,0.127551158,170616,2.686979532,0.236719473,305397
Arkansas,5,1,0,0,1,3,0.060483256,747,3.949551344,0.106339205,1200,0.017029198,0.110134222,1454,0.38176012,0.122802233,1677,1.77464962,0.07936854,3727,5.66335392,0.103698668,692,0.199413031,0.292416977,384,6.5784235,0.156306086,275,1.465374351,0.098890157,1716,0.874702513,0.129919574,847,1.655268908,0.104460655,474,0.117454827,0.101791022,2041,0.653931201,0.134647536,1272,2.574046612,0.129471422,839,1.567759156,0.104725557,996,0.151515663,0.078333798,1971,3.764530182,0.108312036,2186,0.298948616,0.105636258,824,0.065244853,0.089384384,3011,4.676170349,0.234111638,235,3.002627611,0.146716438,1297,2.991963387,470,0.252153369,0.420009516,0.327837115,0,0,0,0.193302817,0.226706699,0.106515794,60951,1.741188049,0.249597163,142198
California,6,1,1,0,1,0,0.041095061,9484,18.10642624,0.088305275,16125,0.189037398,0.094697533,22386,3.45436883,0.098796304,23979,5.542777061,0.050556011,23757,21.03291512,0.060578245,3197,5.409407616,0.132089293,29589,28.22870255,0.055495878,15431,13.84086132,0.087623918,20312,0.099489003,0.114627199,8531,7.098184586,0.082367726,7406,1.40478456,0.081939434,35725,4.434570313,0.129485475,17424,16.18624496,0.110506572,9468,6.413183689,0.096201593,10464,2.498202085,0.054083142,34618,23.85692215,0.087357524,70428,2.207023859,0.101606468,1312,1.275087118,0.076156551,43891,15.48146534,0.134078353,3127,5.244771957,0.126212961,18047,13.27348709,5801,0.224543754,0.597810415,0.17764583,0,0,0,0.425076211,0.172734204,0.087840463,709541,22.59970284,0.230047138,1832054
Colorado,8,1,0,0,1,3,0.049585842,1438,6.560406208,0.107933605,2099,1.313835859,0.109424564,3280,2.0612638,0.095943191,3478,0.232299373,0.063215918,7110,10.01035213,0.096434485,288,0.036551379,0.193879434,2063,10.61688614,0.075231109,834,2.028119087,0.091961978,3294,0.901738226,0.123717254,1006,2.086385489,0.08283883,1271,1.532588005,0.098012063,4724,0.177280217,0.144910225,1732,4.770334721,0.140013656,1208,3.5693717,0.114363761,1551,1.717407107,0.065017885,5804,8.405426979,0.093872237,7842,1.560706735,0.157162321,580,2.593694687,0.088589248,6924,5.049112797,0.133542149,311,1.265809894,0.146694243,2005,4.698616028,837,0.185480589,0.583507411,0.231012,0,0,0,0.324480255,0.259027156,0.097261398,110583,4.964103699,0.18572619,197244
Connecticut,9,1,1,0,1,0,0.032998173,910,5.299740791,0.067397895,1474,0.376491696,0.082138684,1827,1.747710943,0.077171839,2011,1.0810498,0.045701894,4021,6.378697872,0.051854958,601,1.755953908,0.153001367,1012,7.108616829,0.066223851,588,0.332818359,0.059609282,1648,1.529483676,0.097558023,753,2.179231405,0.091753443,559,1.37779355,0.063954701,3262,1.514178872,0.107751229,1229,3.884492874,0.103567533,611,2.502293587,0.073961179,883,0.375029534,0.046492381,3499,5.726820469,0.070905824,5926,1.118685722,0.053132634,296,1.118685722,0.063507057,4066,3.888493299,0.119880026,255,1.896386385,0.106082672,1224,3.05944252,364,0.179861465,0.640532041,0.179606493,0,0,0,0.437616862,0.202915179,0.070168219,47064,10.99961662,0.116465109,79345
Delaware,10,1,0,1,4,3,0.017857895,201,4.914708614,0.107442466,345,1.827004075,0.100887517,446,1.754769683,0.043426316,485,2.735755444,0.048018832,914,3.009204626,0.065170182,290,0.626072764,0.25831809,147,4.214583397,0.025656207,126,2.832348108,0.080261085,415,0.388654232,0.100803029,229,1.060101628,0.061899837,126,0.516886353,0.063986048,707,1.117311001,0.098805426,322,1.315195203,0.110828222,178,1.37323761,0.092391907,230,0.763222277,0.043540739,747,3.22949028,0.074060768,1477,,,,,0.071649155,963,1.282401204,0.030860349,54,2.357384205,0.110977583,322,1.693563104,94,0.220165684,0.540711993,0.239122323,0,0,0,0.349429062,0.191282932,0.074060768,13399,4.678603649,0.129559319,23170
the District of Columbia,11,1,0,1,4,3,0,120,5.895320892,0.023510972,508,0.796246052,0.028625471,723,0.215787917,0.044844666,470,1.514042258,0.020229162,890,1.744436264,0.029660841,571,0.03772131,0.065291199,197,1.863542199,0.036151047,163,0.315141529,0.060247373,239,1.384157658,0.036013691,152,0.417342693,0.022296389,234,0.628536701,0.024669015,1196,1.267604828,0.031192146,335,0.128510922,0.006160994,164,3.536102533,0.06377858,214,1.920996308,0.026553824,1108,0.776794374,0.029911261,1821,,,,,0.031801521,1338,0.189725101,0.043262319,87,0.526558638,0.026480272,345,0.43567431,45,0.136266094,0.72693133,0.136802575,0,0,0,0.419885551,0.30704578,0.029911261,5592,17.09049606,0.063597185,11053
Florida,12,0,0,0,3,0,0.0848901,4354,17.23349762,0.20235416,6994,4.029981613,0.204763257,9586,5.529798031,0.178451708,11042,0.455457181,0.140620282,16355,12.86732006,0.189463832,4870,1.447712541,0.240119048,8572,12.60339737,0.153679227,2179,2.598335266,0.161274739,8766,4.007852554,0.214553298,4813,5.018065453,0.173370378,3385,0.821463525,0.179287897,15012,0.334658951,0.265180666,7360,15.94109917,0.216203602,4988,5.286498547,0.164934885,5568,2.596351147,0.112607324,14060,20.26859474,0.179884397,29812,0.49018997,0.24194963,115,1.056353211,0.164823659,20192,12.13109016,0.334697238,1317,8.789348602,0.235090435,7297,8.065294266,4944,0.041358754,0.457490167,0.314476802,0,0.186674277,0.058973683,0.277120978,0.18036919,0.180271031,686747,23.00415611,0.28363141,1023982
Georgia,13,0,1,0,2,0,0.101019307,2597,11.37190247,0.201244779,4055,1.598661423,0.22076752,5395,5.065781116,0.190853375,6181,0.222263306,0.143400233,10065,11.45812893,0.183681764,5038,1.099906087,0.438701192,1763,17.86732864,0.162118367,1362,2.238496542,0.166322528,5495,3.925572634,0.280487415,2808,9.350974083,0.155154006,1748,3.019494772,0.175352355,8177,3.44390583,0.289658755,4330,13.52887917,0.250492324,2486,5.853207111,0.176641551,3022,1.614518404,0.114200922,8390,17.81364441,0.181628415,12701,3.456213713,0.229793284,774,2.041845083,0.165433402,11082,11.45960808,0.354477348,873,7.326488495,0.256406459,4391,7.612708569,3160,0.068873321,0.411794359,0.314545881,0.204786439,0,0.062992204,0.200331122,0.211463237,0.189637632,404685,19.17196655,0.261902782,548063
Hawaii,15,1,0,1,4,3,0.065277684,313,0.610501111,0.058804566,496,0.415283024,0.071140189,742,1.822025657,0.02681826,842,3.519438982,0.042629956,467,0.855911493,0.101031553,23,0.516785979,0.069909005,261,0.839246333,0.051951551,1642,0.22515212,0.026369626,727,3.434236765,0.061462703,277,0.383060783,0.052907561,273,0.005785605,0.067503859,1116,1.998257041,0.094656417,573,2.907490969,0.051295193,411,0.124174446,0.049697022,434,0.22240904,0.029336572,975,3.282564402,0.039453319,1725,2.729586601,0.099805436,275,1.949620247,0.026035323,1525,4.866463661,0.209958085,70,2.44399929,0.113543347,572,3.742115021,102,0.373971905,0.45527331,0.170754786,0,0,0,0.262974016,0.192299294,0.052999267,13739,9.737218857,0.098023245,25875
Idaho,16,0,0,0,3,2,0.075477258,457,5.28106451,0.180090365,608,0.774322927,0.205567362,841,2.472499847,0.161100507,925,0.35130614,0.140157358,2340,4.437484741,0.176086957,12,0.066051446,0.329781197,327,5.504060268,0.101828967,152,2.236378431,0.140926236,1123,2.09557128,0.244089364,334,2.608719826,0.118019097,299,1.939148426,0.177230556,1075,0.904104233,0.298740639,544,6.050234795,0.204894801,426,1.439800143,0.132891376,579,1.909712791,0.100259335,1282,6.268289566,0.145314522,1175,2.260798454,0.28650696,384,4.000803471,0.159865617,1694,2.311141253,0.302821452,67,1.69999218,0.206357817,718,1.603722811,447,0.031182218,0.341688141,0.375095011,0,0.25203463,0.08466658,0.124562021,0.217126119,0.165972818,53941,5.0257864,0.232430042,71482
Illinois,17,1,0,0,1,3,0.034950095,3196,12.48232841,0.097347983,4964,1.205443978,0.103470109,6939,2.935158253,0.097689814,7445,1.685480118,0.055535574,14579,14.24763584,0.088099049,2400,0.464891553,0.198907853,3625,15.4241457,0.076974132,1940,1.865679264,0.085669606,6770,1.338588595,0.129603756,3082,5.052896023,0.084824063,2064,0.798266411,0.083089343,10628,2.924491882,0.136408806,4623,7.901117802,0.141533973,2837,6.173192501,0.092653008,3657,0.251553357,0.05447241,11427,13.3190012,0.096117202,17756,6.188147545,0.086769028,1380,0.380791485,0.080584225,14689,8.461471558,0.170171555,940,4.36269474,0.133664267,4539,6.346853256,1636,0.217447657,0.568269106,0.214283237,0,0,0,0.376167151,0.192101955,0.091182179,230690,9.765284538,0.163401508,425332
Indiana,18,1,1,0,1,0,0.054917108,1728,7.778263569,0.116890895,2836,0.837683856,0.14122953,3420,4.555470943,0.101915176,3757,1.612517357,0.092400254,9427,6.830151081,0.139335368,889,2.069382429,0.240731195,782,7.034096718,0.110592351,643,0.01853876,0.100395997,3677,1.735782266,0.147097096,1784,3.816246748,0.075164291,1130,3.537576914,0.111235234,5150,0.078189164,0.16579373,2593,6.671939373,0.146741916,1720,3.45101285,0.104724875,2197,0.779022098,0.071086804,5231,9.03882885,0.103007885,7813,3.274139643,0.146716755,1403,2.809221983,0.091776688,7526,8.303728104,0.219433122,419,3.924740076,0.172225987,2564,6.547769547,1142,0.291806537,0.414037795,0.294155668,0,0,0,0.158733137,0.255304657,0.110886247,143883,1.552321076,0.197604368,255094
Iowa,19,1,1,0,1,0,0.027447348,808,3.491183519,0.055916422,1288,0.081842043,0.067271004,1587,1.550890565,0.056068029,1701,0.119224958,0.039903557,4724,4.999988079,0.077502323,123,0.738766491,0.180215569,279,4.324266434,0.101933126,258,1.946633339,0.054026534,1945,0.194322169,0.080283451,678,1.766826749,0.059204928,433,0.227840245,0.047262134,2328,1.545892,0.080751019,951,2.269080639,0.096855395,715,3.056347132,0.070638256,1091,1.447267056,0.027471417,2627,5.887090683,0.056321643,1829,0.217309922,0.072465863,938,1.411249161,0.04277124,3728,4.781373024,0.145000834,142,1.9931494,0.111820918,927,4.007010937,252,0.204352637,0.442825526,0.352821837,0,0,0,0.26484692,0.177978606,0.055251265,32532,13.3085146,0.122412712,71845
Kansas,20,0,0,0,3,0,0.062447301,776,4.659118652,0.101795155,1116,1.211834431,0.133081709,1459,1.899841428,0.129714832,1575,1.659888744,0.086043553,3826,6.285826206,0.149673986,202,1.07837522,0.248854338,571,6.738033772,0.104650897,327,0.502426684,0.10008147,1775,1.744552135,0.171282478,627,3.197753191,0.098745258,473,0.935162306,0.109370921,2051,0.687624216,0.21298615,957,6.692008018,0.18572478,757,4.186298847,0.084057389,974,2.889963388,0.053794397,2238,9.391489029,0.118225679,2368,0.762284696,0.131460902,1454,1.524885416,0.092210819,3217,6.184555054,0.294940682,146,3.414178133,0.184566997,1009,4.600110531,556,0.051807532,0.381560351,0.389129684,0,0.177502434,0.105719401,0.205769654,0.175790697,0.114302844,63678,0.444686323,0.193492552,107316
Kentucky,21,1,0,0,1,3,0.036160248,1160,4.451797009,0.074023231,1826,0.643833756,0.076510797,2322,1.162583113,0.073580506,2589,0.727082551,0.060500334,6749,3.883285999,0.06242064,516,0.561501026,0.221642406,282,4.729202271,0.097897837,350,1.283601165,0.063565752,2590,1.026052117,0.070472253,1171,0.130206212,0.072006227,780,0.212384775,0.072656832,3356,0.702919364,0.089285046,1848,2.788636923,0.100476948,1199,2.967270851,0.054674696,1495,2.006953239,0.050714382,3355,3.938720465,0.068678568,3501,0.150781319,0.069744363,1786,0.056726769,0.062087685,4975,3.618626595,0.102111404,336,1.402082324,0.096888729,1789,3.057607174,460,0.268573475,0.418969164,0.312457361,0,0,0,0.185785919,0.233183245,0.069350542,58632,12.09192944,0.224984757,190401
Louisiana,22,1,1,0,1,0,0.04365099,1065,7.51538229,0.109114117,1768,1.031953454,0.114464492,2430,2.060889244,0.103024679,2568,0.415973812,0.082053466,4716,4.374575138,0.088829773,2283,1.94693315,0.307569407,444,7.833306789,0.14663521,388,1.871018291,0.080065118,2133,2.966306686,0.140155515,1510,3.981291294,0.097043827,682,0.21052815,0.092920734,3506,1.557309508,0.129824082,2051,4.079874992,0.12694922,1089,2.130826473,0.106384783,1212,0.572080076,0.066009563,3479,6.749465942,0.09714178,5157,1.070333123,0.122124477,201,0.732374847,0.089839081,4677,4.593036175,0.176475099,412,3.042499781,0.129880708,1956,2.974847317,734,0.340499351,0.378089015,0.281411634,0,0,0,0.148591984,0.229497031,0.100352658,93962,3.767609358,0.243823583,228658
Maine,23,0,1,1,5,1,0.039968729,277,4.581391811,0.167941476,447,2.372550726,0.140630011,584,1.585804701,0.080774323,632,2.590662718,0.109925324,1773,0.876366436,0.14500684,24,0.397786617,0.15400453,32,0.511325836,0.146079757,111,0.590521753,0.091972338,573,1.422750831,0.113151791,245,0.000234622,0.110407526,196,0.09636604,0.125240512,926,1.146848202,0.17608638,372,2.483571529,0.171368273,228,1.803173184,0.123142655,341,0.458382189,0.069513279,999,4.243770123,0.106142923,1050,0.912931383,0.124697739,890,0.912931383,0.114045147,1287,1.102746367,0.269856811,65,1.86648488,0.119357933,403,0.092534825,199,0.042968003,0.348904775,0.485148515,0.122978707,0,0.140869299,0.041706487,0.307198287,0.113145932,26159,0.369322509,0.153237869,36063
Maryland,24,1,1,0,1,0,0.03593927,1358,6.30659771,0.068018417,2367,1.441129446,0.09308962,3273,3.117606163,0.082175133,3589,1.105044246,0.036511943,5460,11.35794353,0.060292736,2719,3.489056349,0.305948023,1160,14.71210289,0.048242165,1248,3.863834381,0.075597188,3041,0.209918216,0.107415014,1341,3.262100697,0.084655068,1076,0.740325749,0.065983202,5129,3.069022179,0.124384534,2131,6.226490974,0.120549612,1138,3.911580563,0.095841954,1403,2.14171195,0.041400363,5915,10.7107029,0.078495719,9720,2.281785965,,,,0.063339288,7126,6.907410145,0.131595294,399,2.507171154,0.130653046,2057,5.905700207,686,0.152003246,0.695587816,0.152408938,0,0,0,0.509265148,0.186322668,0.076756503,91202,11.87642479,0.135659999,161968
